objID,ra,dec,type,run,rerun,camcol,field,obj,petroMag_r,petroMagErr_r,petroR50_r,petroR90_r,extinction_r,modelMag_r,modelMagErr_r,deVMag_r,deVMagErr_r,deVRad_r,deVRadErr_r,deVAB_r,deVABErr_r,deVPhi_r,deVPhiErr_r,expMag_r,expMagErr_r,expRad_r,expRadErr_r,expAB_r,expABErr_r,expPhi_r,expPhiErr_r,fracDeV_r,psfMag_r,psfMagErr_r,concentration,z,zErr,specClass,velDisp,velDispErr,plate,mjd,fiberID,specobjID
587722952230174996,236.24709547,-0.4752636,3,745,40,2,518,276,17.67517,0.01756032,2.128693,5.593968,0.2624104,17.73467,0.008743418,17.37337,0.008793214,5.116095,0.165372,0.3002448,0.01170436,3.095538,-1000,17.73469,0.008743417,2.645139,0.06140351,0.344559,0.01141576,3.306782,-1000,0.3802994,19.19514,0.02232293,0.3805337,0.0302843,7.57866e-05,2,-9999.0,-9999.0,342,51691,261,96486454284255232
587722952230175035,236.28687056,-0.51800318,3,745,40,2,518,315,17.47781,0.01284323,2.474839,4.959165,0.2710821,17.38941,0.007480572,16.93129,0.007732358,8.175037,0.2450003,0.3528419,0.0117568,26.43944,-1000,17.38943,0.007480572,3.485918,0.05283098,0.3971273,0.01048245,26.72185,-1000,0.0,19.30703,0.02285128,0.4990436,0.0779226,4.68393e-05,2,-9999.0,-9999.0,342,51691,263,96486454292643840
587722952230175138,236.34218191,-0.46702283,3,745,40,2,518,418,17.10963,0.0171789,3.905745,8.556011,0.2699529,17.10843,0.008090155,16.53759,0.00825384,12.31971,0.4006786,0.5577641,0.01752687,94.66544,-1000,17.10843,0.008090154,4.654963,0.08412682,0.5730353,0.01443212,95.14242,-1000,0.149858,19.50751,0.02401365,0.4564914,0.160228,0.000130709,2,-9999.0,-9999.0,342,51691,264,96486454296838144
587722952230175145,236.35012242,-0.59823729,3,745,40,2,518,425,16.91058,0.009780966,2.750115,5.684737,0.2801929,16.89667,0.005510137,16.49379,0.005601731,6.052309,0.1698672,0.6619478,0.01464671,101.6251,-1000,16.89667,0.005510137,2.991504,0.03637713,0.6666971,0.01128863,101.8756,-1000,0.2175171,18.70511,0.02107923,0.4837717,0.0715577,0.000161128,2,-9999.0,-9999.0,342,51691,245,96486454217146368
587722952230175173,236.36935997,-0.57445037,3,745,40,2,518,453,16.70607,0.01066177,3.255225,7.169544,0.2792844,16.66863,0.00518847,16.22501,0.005300595,10.30957,0.2089784,0.3420995,0.007772612,95.72665,-1000,16.66862,0.00518847,4.523681,0.04878782,0.3685379,0.006025396,94.37662,-1000,0.1334773,18.75695,0.02120862,0.4540352,0.0719751,0.000106211,2,-9999.0,-9999.0,342,51691,252,96486454246506496
587722952230240617,236.39732174,-0.49345701,3,745,40,2,519,361,15.54379,0.005354197,4.223488,9.519287,0.2726771,15.54348,0.003134543,15.13414,0.003256778,10.09329,0.1095727,0.8259412,0.009292131,158.2572,-1000,15.54346,0.003134543,4.443204,0.02574782,0.8231574,0.00690008,156.3902,-1000,0.1083948,18.11296,0.01992313,0.4436769,0.0548414,0.000110912,2,-9999.0,-9999.0,342,51691,240,96486454196174848
587722952230240688,236.44526273,-0.50628729,3,745,40,2,519,432,17.44053,0.0171289,2.71967,6.032291,0.2665595,17.41053,0.00917654,16.93058,0.009606984,7.938667,0.2813071,0.6271752,0.0240632,131.8573,-1000,17.41051,0.009176542,3.12986,0.06524376,0.6896783,0.01942403,133.1297,-1000,0.0,19.515,0.02459701,0.4508519,0.0545724,8.26794e-05,2,-9999.0,-9999.0,342,51691,229,96486454150037504
587722952230306064,236.54764407,-0.54933529,3,745,40,2,520,272,17.54622,0.01987823,3.064055,7.159083,0.2751923,17.44888,0.009376233,17.0673,0.00972309,11.10953,0.4486852,0.2000001,0.008525636,98.63912,-1000,17.44888,0.009376234,4.980019,0.1098382,0.2397661,0.008234966,97.51542,-1000,0.0,19.55909,0.02073147,0.4279955,0.0803382,0.000199447,2,-9999.0,-9999.0,342,51691,260,96486454280060928
587722952230371590,236.67367094,-0.61935659,3,745,40,2,521,262,17.76486,0.009918532,1.120736,2.701848,0.2815294,17.66213,0.02383031,17.88185,0.02421758,0.89298,0.05146509,0.4013559,0.05207992,69.10382,-1000,17.66213,0.02505753,1.180935,0.04582922,0.3154181,0.04825265,69.00602,-1000,0.6957559,18.38794,0.01426185,0.4148034,0.0618053,0.000182183,2,117.0326,19.80752,342,51691,215,96486454091317248
587722952230371712,236.76595332,-0.54652777,3,745,40,2,521,384,17.58393,0.01858719,2.307175,5.609862,0.2685814,17.31576,0.008478147,17.31578,0.008478147,5.047774,0.2263367,0.2848923,0.01195934,3.286195,-1000,17.61566,0.008498812,2.984469,0.05729852,0.3176873,0.009030613,3.409586,-1000,0.5806642,19.03216,0.0160436,0.4112712,0.0796273,0.000161129,2,-9999.0,-9999.0,342,51691,219,96486454108094464
