,objID,ra,dec,run,rerun,camcol,field,mjd,plate,z,Zerr,specClass,obj,type,sky_r,skyErr_r,psfMag_r,psfMagErr_r,petroMag_r,petroMagErr_r,petroRad_r,petroRadErr_r,petroR50_r,petroR50Err_r,petroR90_r,petroR90Err_r,deVRad_r,deVAB_r,deVABErr_r,expRad_r,expRadErr_r,expAB_r,expABErr_r,extinction_r
0,587722952230502748,237.03379,-0.44061326,745,40,2,523,51691,342,0.0776358,0.000161818,2,348,3,4.774027e-09,1.047811e-12,17.93055,0.01506762,16.91058,0.008219063,4.505163,0.08534466,1.902812,0.0194117,5.493598,0.1291069,1.667692,0.877082,0.01911459,1.219022,0.01486402,0.86568,0.01503625,0.2620432
1,587722952230502787,237.05981,-0.54885368,745,40,2,523,51691,342,0.0761725,7.52729e-05,2,387,3,4.76214e-09,7.424068e-13,19.29465,0.01891121,17.84395,0.01760174,4.398765,0.2519146,2.019992,0.02905278,4.340507,0.1813091,4.804468,0.2820794,0.01528655,2.707062,0.07090111,0.3273204,0.01109284,0.2510118
2,587722952230502863,237.10586,-0.58597608,745,40,2,523,51691,342,0.113759,0.000183593,2,463,3,4.781567e-09,8.030828e-13,18.47322,0.01592888,17.33351,0.01121965,4.272303,0.08130267,1.944158,0.0225132,4.869905,0.1604692,2.372649,0.6914147,0.02159473,1.766023,0.02356011,0.6719852,0.01552823,0.2471906
3,587722952230633809,237.28769,-0.54430542,745,40,2,525,51691,342,0.0779487,9.1695e-05,2,337,3,4.796568e-09,7.429859e-13,19.19694,0.02080346,17.83133,0.01565502,3.855302,0.1988703,1.803751,0.02399095,4.000006,0.1401097,4.26621,0.2828377,0.01331595,2.401166,0.04455783,0.3291868,0.01086578,0.2487706
4,587722952230633836,237.30433,-0.48216502,745,40,2,525,51691,342,0.0976528,0.000185987,2,364,3,4.805004e-09,3.943176e-11,19.33633,0.02145463,17.27083,0.01508184,6.245854,0.1517576,2.892452,0.03927869,6.862564,0.2718885,6.372239,0.9180328,0.02773003,2.564051,0.05081052,0.9570234,0.02163787,0.2520049
5,587722952230633896,237.3499,-0.60275747,745,40,2,525,51691,342,0.07789,0.000158269,2,424,3,4.801424e-09,7.429859e-13,19.32972,0.02151281,17.37431,0.01477485,5.957586,0.08643458,2.828844,0.03302773,5.576993,0.1586671,6.454072,0.7520645,0.02509966,2.99859,0.05665987,0.758664,0.01917699,0.2554818
6,587722952230633900,237.35376,-0.45776362,745,40,2,525,51691,342,0.114185,0.000151576,2,428,3,4.798827e-09,7.297627e-13,18.66321,0.01912354,17.49507,0.01642264,5.854694,0.11697,2.116943,0.05177995,5.634238,0.1995935,1.800567,0.8921368,0.03104924,1.184987,0.02157347,0.8650292,0.02403182,0.2539344
7,587722952230699058,237.45397,-0.42316054,745,40,2,526,51691,342,0.0954093,0.000176023,2,50,3,5.032661e-09,8.620934e-10,19.07038,0.03809778,17.7527,0.07688035,4.42797,0.6086324,1.934314,0.1581994,5.019447,1.11992,4.18035,0.2275173,0.01097146,2.500136,0.05065115,0.2702904,0.009200874,0.2567451
8,587722952230699465,237.52512,-0.59059806,745,40,2,526,51691,342,0.113105,8.31098e-05,2,457,3,4.784105e-09,8.655116e-12,19.55152,0.02111484,17.82902,0.02185492,5.50079,0.1740791,2.510461,0.0474622,5.414946,0.2567351,5.281672,0.7372556,0.03374724,2.458539,0.06293648,0.7597231,0.02542749,0.2521405
9,587722952230699523,237.54523,-0.51306391,745,40,2,526,51691,342,0.0959833,0.000153738,2,515,3,4.778309e-09,7.42882e-13,18.15374,0.01599203,16.1902,0.007698383,8.768015,0.3646724,3.777536,0.03293394,9.428205,0.1858313,6.583403,0.6800261,0.01042762,3.665544,0.03425043,0.6756295,0.008421018,0.2475662
